group_id	item_id	bit_index	pval	smarts
penicillins	pencillin_G	5	0.0909	*-[#7]1-*-[#6H](-[#6]-1=[#8])-*
penicillins	pencillin_G	18	0.0909	*-[#6]1(-*(-[#7]2-*(-[#16]-1)-[#6H](-[#6]-2=*)-*-*)-*)-*
penicillins	pencillin_G	122	0.0909	*-[#6]1(-*(-[#7]2-*(-[#16]-1)-[#6H](-[#6]-2=*)-*-*(=*)-*)-*(=*)-*)-*
penicillins	pencillin_G	130	0.0909	*-[#6]1(-*(-[#7]2-*(-[#16]-1)-[#6H](-*-2)-*)-*)-*
penicillins	pencillin_G	233	0.0909	*1-*(-*)-[#6H](-*-1=*)-*-*
penicillins	pencillin_G	362	0.0909	*-[#6]1(-*(-*2-*(-*-1)-*-*-2=*)-*(=*)-*)-*
penicillins	pencillin_G	387	0.0909	*-*(-*)-*-*(=*)-*
penicillins	pencillin_G	389	0.0909	*-*(=*)-*
penicillins	pencillin_G	389	0.0909	*1:[#6]:[#6]:[#6]:[#6]:[#6]:1
penicillins	pencillin_G	570	0.0909	*-[#6]1(-*(-*2-*(-*-1)-*(-*-2=*)-*-*)-*(=*)-*)-*
penicillins	pencillin_G	673	0.0909	*-[#6](-*(-*(-*)-*)-*(=*)-*)(-*)-*
penicillins	pencillin_G	675	0.0909	*-*-*
penicillins	pencillin_G	697	0.0909	*-*(-*(-*(-*)-*)-*(=*)-*)(-*)-*
penicillins	pencillin_G	753	0.0909	*-*1-*(-*-*)-*(-*-1=*)-*-*(=*)-*
penicillins	pencillin_G	935	0.0909	*-*(-*)-*
penicillins	pencillin_G	1088	0.0909	*:[#6]:[#6]:[#6]:*
penicillins	pencillin_G	1088	0.0909	*:[#6]:[#6]:*:*
penicillins	pencillin_G	1088	0.0909	*:[#6]:*:*:*
penicillins	pencillin_G	1150	0.0909	*-*(-*1-*(-*)-*-*-1=*)-*
penicillins	pencillin_G	1152	0.0909	*-*-*
penicillins	pencillin_G	1199	0.0909	*-*1:*:*:[#6]:*:*:1
penicillins	pencillin_G	1205	0.0909	*-*(-*1-*(-*)-*(-*-1=*)-*-*)-*
penicillins	pencillin_G	1279	0.0909	*-*1-*(-*-*)-*(-*-1)-*
penicillins	pencillin_G	1408	0.0909	*-*1(-*(-*2-*(-*-1)-*(-*-2=*)-*-*(=*)-*)-*(=*)-*)-*
penicillins	pencillin_G	1431	0.0909	*-*(-*)-*(=*)-*
penicillins	pencillin_G	1750	0.0909	*-*(:*:*:*):*
penicillins	pencillin_G	1750	0.0909	*-*(:*):*:*:*
penicillins	pencillin_G	1771	0.0909	*-*1(-*(-*2-*(-*-1)-*(-*-2=*)-*)-*(=*)-*)-*
penicillins	pencillin_G	1873	0.0909	*:*:*
penicillins	pencillin_G	1937	0.0909	*-*1(-*(-*(-*(-*-1)-*)-*)-*(=*)-*)-*
penicillins	pencillin_G	1943	0.0909	*-*1(-*(-*2-*(-*-1)-*(-*-2=*)-*)-*(=*)-*)-*
penicillins	ampicillin	5	0.0909	*-[#7]1-*-[#6H](-[#6]-1=[#8])-*
penicillins	ampicillin	18	0.0909	*-[#6]1(-*(-[#7]2-*(-[#16]-1)-[#6H](-[#6]-2=*)-*-*)-*)-*
penicillins	ampicillin	122	0.0909	*-[#6]1(-*(-[#7]2-*(-[#16]-1)-[#6H](-[#6]-2=*)-*-*(=*)-*)-*(=*)-*)-*
penicillins	ampicillin	130	0.0909	*-[#6]1(-*(-[#7]2-*(-[#16]-1)-[#6H](-*-2)-*)-*)-*
penicillins	ampicillin	233	0.0909	*1-*(-*)-[#6H](-*-1=*)-*-*
