smiles_id,group_id,smiles
23884_0,N_0,CC=C(C=N)C(N)=O
23884_1,C_0,NC(=O)c1cccnc1
23884_2,O_0,CC=C(C=N)C(N)=O
23884_3,C_0,NC(=O)c1cccnc1
23884_4,C_0,NC(=O)c1cccnc1
23884_5,C_0,NC(=O)c1cccnc1
23884_6,C_0,Cc1cccnc1
23884_7,N_1,NC(=O)c1cccnc1
23884_8,C_0,NC(=O)c1cccnc1
24012_0,C_0,CCCC(C)C
24012_1,C_0,[CH]CCCC(C)C
24012_2,C_0,CCCC(C)C
24012_3,C_0,CC(C)CCCC(C)C
24012_4,C_0,CC[C@H](C)CCCC(C)C
24012_5,C_0,CCC[C@H](C)CCCC(C)C
24012_6,C_0,[CH]CCC[C@H](C)CCCC
24012_7,C_0,CCCC(C)CCC
24012_8,C_0,CCC[C@@H](C)CCCC(C)C
24012_9,C_0,CC[C@@H](C)CCC[C@@H](C)CC
24012_10,C_0,CCC[C@H](C)CCCC(C)C
24012_11,C_0,[C]CCC[C@H](C)CCC[CH]
24012_12,C_0,CCCC(C)CCC
24012_13,C_0,CCC[C@@H](C)CCCC(C)(C)O
24012_14,C_0,CC[C@@H](C)CCC[C@](C)(CC)OC
24012_15,C_0,C=C1CCC[C@@](C)(CCCC(C)C)O1
24012_16,C_0,[CH]CCC[C@]1(C)CCC(=C)C(=C(C)C)O1
24012_17,C_0,C=C1CCC[C@@](C)(CCC)O1
24012_18,C_0,C=C1O[C@](C)(CCC)CCC1=CC
24012_19,C_0,CC[C@]1(C)CCc2cc(O)cc(C)c2O1
24012_20,C_0,Cc1c(O)cc2c(c1C)OC(C)(C)CC2
24012_21,C_1,Cc1c(O)cc2c(c1C)O[C]CC2
24012_22,C_0,CCc1cc(O)c(C)c(C)c1O
24012_23,O_0,Cc1cc(C)c(C)c(O)c1
24012_24,C_0,[C]Oc1c(C)cc(O)c(C)c1C
24012_25,C_0,Cc1c(O)ccc(O)c1C
24012_26,C_0,Cc1c(O)cc2c(c1C)OC(C)(C)CC2
24012_27,C_0,[C]Oc1c(C)cc(O)c(C)c1C
24012_28,C_0,CC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1
24012_29,O_0,CCC[C@]1(C)CCc2ccc(C)c(C)c2O1
24604_0,C_0,Cn1cnc(N)c1C(N)=O
24604_1,N_0,Cn1cnc2c1C(=O)NCN2
24604_2,C_0,CNc1ncn(C)c1C(N)=O
24604_3,N_0,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
24604_4,C_0,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
24604_5,N_1,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
24604_6,C_0,C=Nc1[nH]c(=O)[nH]c(=O)c1N
24604_7,O_0,Nc1cc(=O)[nH]c(=O)[nH]1
24604_8,N_0,CN(C)c1c(N)[nH]c(=O)[nH]c1=O
24604_9,C_0,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
24604_10,O_0,CN(C)c1c(N)[nH]c(=O)[nH]c1=O
24604_11,C_0,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
24726_0,C_0,[CH][C@H](C)c1c[nH]c2ccccc12
24726_1,C_0,[CH]c1c[nH]c2ccccc12
24726_2,C_0,CNc1ccccc1C
24726_3,C_0,[CH]C(=C)c1ccccc1N
24726_4,C_0,[CH][C@H](C)c1c[nH]c2ccccc12
24726_5,C_0,C[C@H](c1c[nH]c2ccccc12)[C@@H](C)O
24726_6,C_0,CO[C@H](C([N])=O)[C@H](C)c1c[nH]c2ccccc12
24726_7,C_0,CC=c1[nH]cc([C@@H](C)[C@@H](C)O)c1=CC
24726_8,N_0,[CH][C@H](C)c1c[nH]c2ccccc12
24726_9,C_0,C=c1[nH]cc([C@@H](C)[C@@H]2OC(N)=NC2=O)c1=CC
24726_10,C_0,C=C(C)C(=CN)[C@@H](C)[C@H](OC)C([N])=O
24726_11,C_0,C=C(C)C(=CN)[C@@H](C)[C@@H]1OC(N)=NC1=O
24726_12,C_0,C=C(C)[C@@H](C)[C@@H]1OC(N)=NC1=O
24726_13,N_0,CC(C)[C@@H]1OC(N)=NC1=O
24726_14,C_0,CC(C)[C@@H]1OC(N)=NC1=O
24726_15,O_0,C=C(C)[C@@H](C)[C@@H]1OC(N)=NC1=O
24726_16,N_1,[CH][C@@H]1OC(N)=NC1=O
24726_17,O_0,CC(C)[C@@H]1OC(N)=NC1=O
25269_0,C_0,[CH]c1ccc(O)c(O)c1
25269_1,C_0,C[C@H](O)c1ccc(O)c(O)c1
25269_2,C_0,NC[C@H](O)c1ccc(O)c(O)c1
25269_3,C_0,NC[C@H](O)c1ccc(O)c(O)c1
25269_4,C_0,NC[C@H](O)c1ccc(O)c(O)c1
25269_5,C_0,C[C@H](O)c1ccc(O)c(O)c1
25269_6,O_0,[CH]c1ccc(O)c(O)c1
25269_7,C_1,NC[C@H](O)c1cccc(O)c1
25269_8,C_0,C=CC(=CC)[C@@H](O)CN
25269_9,N_0,C=C(C)[C@@H](O)CN
25269_10,O_0,C=CC(=CC)[C@@H](O)CN
25269_11,O_0,Oc1ccccc1O
25321_0,C_0,CNCCO
25321_1,N_1,CNCCOP
