group_id	item_id	bit_index	pval	smarts
N_0	23884_0	140	0.0	*-[#6](-[#7])=*
N_0	23884_0	510	0.0005	[#6]-[#6]=*(-[#6]=*)-[#6](-*)=*
N_0	23884_0	531	0.0013	*=*(-*)-[#6](-*)=*
N_0	23884_0	1171	0.0	*-*
N_0	23884_0	1588	0.0117	*-*=*(-*=*)-*(-*)=*
N_0	24604_1	117	0.0025	*-[#7]-[#6]-[#7]-*
N_0	24604_1	289	0.0154	*-[#7](:*):[#6](:*(:*)-*)-*(=*)-*
N_0	24604_1	314	0.0001	*-*(=*)-*
N_0	24604_1	378	0.0	*:*:*
N_0	24604_1	926	0.0073	*-[#6]-*
N_0	24604_1	932	0.0	*-[#7](:*:*:*):*
N_0	24604_1	935	0.0	*-[#7](:*):*
N_0	24604_1	1114	0.0	*-*-*
N_0	24604_1	1145	0.0	*-[#7](:*):*
N_0	24604_1	1401	0.0	*-[#7](:*):*1:*(:*)-*-*-*-*-1=*
N_0	24604_1	1409	0.001	*-[#7](:*:*):*(:*)-*
N_0	24604_1	1452	0.0	*:*:*:*(:*)-*
N_0	24604_1	1517	0.0062	*-*1:*:*:*(:*:1-*)-*
N_0	24604_1	1614	0.0228	*-*1:*:*:*(:*:1-*(=*)-*)-*
N_0	24604_1	1657	0.0117	*:*(-*(=*)-*-*):*
N_0	24604_1	1692	0.0033	*:*:*(:*(-*):*)-*-*
N_0	24604_1	1866	0.0001	*-*(=*)-*-*-*
N_0	24604_1	1866	0.0001	*:*(:*)-*-*-*
N_0	24604_3	41	0.0001	[#6]-[#7]1:[#6]:[#7]:[#6]2:[#7H]:[#6](=*):[#7H]:[#6](=[#8]):[#6]:1:2
N_0	24604_3	314	0.0001	*:[#6](=*):*
N_0	24604_3	314	0.0001	*:[#6](=[#8]):*
N_0	24604_3	378	0.0	*:[#7]:*
N_0	24604_3	463	0.0228	[#6]-[#7]1:*:[#7]:*(:*):*:1:[#6](:*)=*
N_0	24604_3	531	0.0013	*-[#7]1:*:[#7]:*(:*:*):*:1:*
N_0	24604_3	599	0.0104	*-[#7]1:*:[#7]:*2:*:*(=*):*:*(=*):*:1:2
N_0	24604_3	750	0.0	*:*:*(=*):*(:*):*
N_0	24604_3	768	0.0003	*:*1:*:*(=*):*:*(=*):*:1
N_0	24604_3	932	0.0	*-*(:*:*:*):*
N_0	24604_3	935	0.0	*-*(:*):*
N_0	24604_3	1114	0.0	*:*:*
N_0	24604_3	1145	0.0	*-*(:*):*
N_0	24604_3	1152	0.0036	*:*:*(:*:*):*(:*):*
N_0	24604_3	1409	0.001	*-*(:*:*):*(:*):*
N_0	24604_3	1452	0.0	*:*:*:*(:*):*
N_0	24604_3	1517	0.0062	*-*1:*:*:*(:*):*:1:*
N_0	24604_3	1745	0.0	*:*(:*:*(=*):*):*
N_0	24604_3	1745	0.0	*:*(=*):*:*(=*):*
N_0	24604_3	1877	0.0001	*-*(:*):*1:*(:*):*:*(=*):*:*:1=*
N_0	24604_3	2004	0.0038	*:*:*(=*):*:*
N_0	24604_3	2013	0.0032	*-*1:*:*:*2:*:*(=*):*:*(=*):*:1:2
N_0	24604_8	314	0.0001	*:[#6](=[#8]):*
N_0	24604_8	347	0.0061	*-*(:[#6](-[#7]):*:*):*
N_0	24604_8	531	0.0013	*-*(-*)-*1:[#6](-*):*:*(=*):*:*:1=[#8]
N_0	24604_8	626	0.0051	*-*(-*)-*1:[#6](-*):*:*(=*):*:*:1=[#8]
N_0	24604_8	750	0.0	*-*(:*):*(:*:*)=[#8]
N_0	24604_8	768	0.0003	*1:*(-*):*:*(=*):*:*:1=*
N_0	24604_8	881	0.0117	*-*(-*)-*
N_0	24604_8	1114	0.0	*:*:*
N_0	24604_8	1171	0.0	*-*
N_0	24604_8	1192	0.0355	*-*(-*)-*1:*(-*):*:*(=*):*:*:1=*
N_0	24604_8	1457	0.0	*:*(-*):*
N_0	24604_8	1745	0.0	*:*(-*):*:*(=*):*
N_0	24604_8	1745	0.0	*:*(=*):*:*(=*):*
N_0	24604_8	2004	0.0038	*:*:*(=*):*:*
N_0	24726_8	119	0.0015	*:[#7H]:[#6](:[#6]:*):[#6](:*):*
N_0	24726_8	328	0.0085	*-*1:*:[#7H]:[#6]2:[#6]:*:*:*:[#6]:1:2
N_0	24726_8	329	0.0003	*:[#7H]:[#6]1:[#6]:*:*:*:[#6]:1:*
N_0	24726_8	806	0.0359	*:*:[#7H]:[#6](:*):*
N_0	24726_8	1114	0.0	*:[#7H]:*
N_0	24726_8	1167	0.0041	[#6H]-*(-[#6])-*1:*:[#7H]:*(:*:*):*:1:*:*
N_0	24726_8	1199	0.0444	*:*1:*:*:*:*:*:1
N_0	24726_8	1199	0.0444	*1:*:*:*:*:*:1:*
N_0	24726_8	1351	0.0039	[#6H]-*(-[#6])-*1:*:*:*2:*:*:*:*:*:1:2
N_0	24726_8	1573	0.045	*-*(:*):*1:*(:*):*:*:*:*:1
N_0	24726_8	1783	0.0	*:*:*1:*:*:*:*:*:1:*
N_0	24726_8	1879	0.0026	*-*(:*:*:*):*
N_0	24726_8	1937	0.0237	*-*1:*:*:*(:*:*):*:1:*
N_0	24726_8	2013	0.0032	*-*(:*):*1:*(:*):*:*:*:*:1
N_0	24726_13	314	0.0001	*-[#6](=[#8])-*
N_0	24726_13	378	0.0	*=*-*
N_0	24726_13	750	0.0	*-*(-[#8]-*(-*)=*)-*
N_0	24726_13	927	0.0026	*-*(-*)=*-*(=*)-*
N_0	24726_13	1171	0.0	*-*
N_0	24726_13	1457	0.0	*-*(-*)=*
N_0	25269_9	80	0.0054	*-[#6]-*
N_0	25269_9	261	0.0267	*=[#6](-*)-*(-[#8])-[#6]-*
N_0	25269_9	981	0.0	*-[#6]-*
N_0	25269_9	1022	0.0176	*=[#6](-*)-*
N_0	25269_9	1171	0.0	*-*
N_0	25269_9	1909	0.0457	*-*(-*)-*-*
N_0	26337_0	80	0.0054	*-[#6]-*
N_0	26337_0	80	0.0054	*-*-*
N_0	26337_0	652	0.0046	*-*-*-*
N_0	26337_0	739	0.0136	*-*(-*-*-*)-*
N_0	26337_0	774	0.0117	*-*(-*-*-*)-*
N_0	26337_0	786	0.0016	*-*(-*)-*
N_0	26337_0	957	0.0016	*-*(-*-*-*)-*(=[#8])-[#8]
N_0	26337_0	1171	0.0	*-*
N_0	26337_0	1427	0.0253	*-*(-*-*)-*(=[#8])-[#8]
N_0	26337_0	1459	0.0	*-*-*
N_0	26337_0	1480	0.0003	*-*(-*-*-*)-*(=*)-*
N_0	26337_0	1791	0.0033	*-*(-*-*-*)-*(=*)-*
N_0	26337_0	1844	0.0018	*-*(-*)-*(=*)-*
N_0	26337_0	1849	0.0001	*-*(-*-*)-*(=*)-*
N_0	31639_20	140	0.0	*-[#6]-[#6H](-[#7](-[#6])-[#6])-[#6H](-*)-*
N_0	31639_20	560	0.0296	*-[#6]-[#6H](-[#7](-*)-*)-[#6H](-*)-*
N_0	31639_20	576	0.0157	*-[#6H](-*)-*(-[#8])-[#8]-*
N_0	31639_20	596	0.0013	[#6]-*1-[#6]-*-[#6H](-*)-*(-[#8])-[#8]-1
N_0	31639_20	881	0.0117	*-[#7](-*)-*
N_0	31639_20	922	0.0158	[#6]-*1-[#6]-*(-[#7](-*)-*)-[#6H](-*)-*(-*)-[#8]-1
N_0	31639_20	926	0.0073	*-[#6]-*
N_0	31639_20	1040	0.0131	*-*1-[#6]-*(-[#7](-*)-*)-[#6H](-*)-*(-*)-[#8]-1
N_0	31639_20	1074	0.022	*-*1-[#6]-*(-*)-[#6H](-*)-*(-*)-[#8]-1
N_0	31639_20	1292	0.0249	*-*(-[#6]-*(-*)-*)-*
